項目,区分,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
歳入総額,歳入,753594197,732548375,719051296,726319360,730589345
市税,歳入,248619923,242658234,244429111,252119049,252959966
地方譲与税,歳入,3811340,3629585,3475248,3270629,3437129
府税交付金,歳入,22614107,22788863,24623643,27512053,39614042
地方特例交付金,歳入,2260533,818927,778380,715003,697702
地方交付税,歳入,63993452,61006749,57838466,53329295,50320765
交通安全対策特別交付金,歳入,538518,529759,490424,417731,442206
分担金及び負担金,歳入,9475736,9506681,9376259,8588983,6933968
使用料及び手数料,歳入,20247427,19448725,19553813,19874858,19698691
国庫支出金,歳入,115666225,112415977,118497982,124516961,126904015
府支出金,歳入,25570692,26910449,28004576,29961146,35987336
財産収入,歳入,5625539,9927028,2077859,2709020,4257127
寄附金,歳入,751497,2143669,1140124,1322361,5477129
繰入金,歳入,4611102,7583672,10492819,12537272,7096894
繰越金,歳入,4092323,4873694,4162240,6450182,7982947
諸収入,歳入,143135144,126629737,108790346,95978817,82927427
市債,歳入,82580642,81676625,85320007,87016000,85852000
歳出総額,歳出,748010502,726521170,711642641,717277413,726119200
議会費,歳出,2288361,2138583,2079667,2105177,2181978
総務費,歳出,36154947,35797567,36891958,36877095,47871340
文化市民費,歳出,18707593,23349572,20559362,25450126,24373288
保健福祉費,歳出,282776150,284484922,288213944,302353437,307519712
環境費,歳出,24854832,25696683,23675886,23049596,22691730
産業観光費,歳出,133992179,117134133,98600589,84938730,75120365
計画費,歳出,15360467,15632017,20003155,16737299,17695764
土木費,歳出,39120474,34235838,31093019,30569058,30506738
消防費,歳出,23464269,23886334,22751947,22969312,22000286
教育費,歳出,46777724,40520837,44530427,46206350,48490006
災害対策費,歳出,371421,410272,1365066,1704835,1869547
公債費,歳出,83517941,84073568,85236584,85484584,85872036
諸支出金,歳出,40624144,39160846,36641037,38831813,39926409
