項目,2009年度(百万円),2010年度(百万円),2011年度(百万円),2012年度(百万円),2013年度(百万円),2013年度_対前年度増加率(%),2013年度_構成比(%)
1府民雇用者報酬,4786300,4643122,4421318,4445203,4436644,-0.2,57
(1)賃金・俸給,4027809,3867955,3624906,3654735,3654958,0,47
(2)雇主の社会負担,758491,775166,796412,790468,781687,-1.1,10
a雇主の現実社会負担,529655,557626,579400,594056,599912,1,7.7
b雇主の帰属社会負担,228836,217541,217011,196412,181775,-7.5,2.3
2財産所得(非企業部門),494386,447063,439242,403758,426925,5.7,5.5
(a)受取,708434,657953,649302,607053,632437,4.2,8.1
(b)支払,214048,210889,210060,203295,205512,1.1,2.6
(1)一般政府,-123629,-132300,-137579,-139762,-137801,1.4,-1.8
(a)受取,71390,65292,59013,55155,59022,7,0.8
(b)支払,195019,197591,196592,194917,196823,1,2.5
(2)家計,605566,566799,568258,535126,556108,3.9,7.1
a利子,231973,234727,233975,233493,244026,4.5,3.1
(a)受取,248603,246128,245770,240807,251746,4.5,3.2
(b)支払(消費者負債利子),16630,11401,11794,7314,7721,5.6,0.1
b配当(受取),199996,158449,157105,129665,129788,0.1,1.7
c保険契約者に帰属する財産所得,155436,155666,155987,153180,159002,3.8,2
d賃貸料(受取),18161,17957,21190,18788,23293,24,0.3
(3)対家計民間非営利団体,12449,12564,8564,8393,8618,2.7,0.1
(a)受取,14848,14462,10238,9458,9586,1.4,0.1
(b)支払,2399,1898,1674,1064,968,-9,0
3企業所得(法人企業の分配所得受払後),2232279,2555369,2921033,2940236,2920289,-0.7,37.5
(1)民間法人企業,1251623,1553094,1927221,1927081,1891068,-1.9,24.3
a非金融法人企業,996000,1324760,1701080,1680268,1669849,-0.6,21.5
b金融機関,255624,228335,226141,246813,221219,-10.4,2.8
(2)公的企業,72518,71547,76978,78809,67805,-14,0.9
a非金融法人企業,27671,29261,34225,28950,18349,-36.6,0.2
b金融機関,44847,42285,42753,49860,49456,-0.8,0.6
(3)個人企業,908138,930728,916835,934345,961417,2.9,12.4
a農林水産業,3905,5168,3465,7700,7055,-8.4,0.1
bその他の産業(非農林水産・非金融),205658,215058,193065,191943,220845,15.1,2.8
c持ち家,698574,710502,720305,734703,733516,-0.2,9.4
4府民所得(要素費用表示)(1+2+3),7512965,7645555,7781594,7789196,7783859,-0.1,100
5生産・輸入品に課される税(控除)補助金,632681,616154,643128,633698,645644,1.9,8.3
6府民所得(市場価格表示)(4+5),8145647,8261708,8424722,8422894,8429503,0.1,108.3
7その他の経常移転(純),1066390,1062968,1063867,1087116,983206,-9.6,12.6
(1)非金融法人企業および金融機関,-227322,-175726,-121761,-140808,-200764,-42.6,-2.6
(2)一般政府,1166238,1035232,1035440,1062118,1050148,-1.1,13.5
(3)家計(個人企業を含む),-26097,15757,-35860,-53886,-95068,-76.4,-1.2
(4)対家計民間非営利団体,153571,187705,186049,219692,228889,4.2,2.9
8府民可処分所得(6+7),9212037,9324676,9488588,9510010,9412708,-1,120.9
(1)非金融法人企業および金融機関,1096819,1448915,1882437,1865082,1758109,-5.7,22.6
(2)一般政府,1675291,1519086,1540989,1556054,1557991,0.1,20
(3)家計(個人企業を含む),6273907,6156406,5870550,5860789,5859101,0,75.3
(4)対家計民間非営利団体,166020,200269,194613,228085,237507,4.1,3.1
(参考)府民総所得(市場価格),10024423,10090597,10253861,10217635,10250960,0.3,131.7
