分類,項目,単位,2015年平均,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月
-,集計世帯数,(世帯),94,94,92,94,95,92,94,93,95,95,94,92,94
-,世帯人員 ,(人),3.11,3.01,3.15,3.14,3.19,3.18,3.21,3.18,3.07,3.13,3.03,2.98,3.03
-,有業人員 ,(人),1.38,1.34,1.37,1.39,1.47,1.42,1.4,1.48,1.4,1.37,1.3,1.3,1.31
-,世帯主の年齢 ,(歳),57.9,58.5,58.5,58.6,57.9,57.4,57.6,57,57.2,56.9,57.8,58.5,58.6
消費支出,消費支出,(円),282808,313979,311707,324322,272685,287776,251573,238458,261497,284063,277236,251142,319258
食料,食料,(円),80511,76547,77054,84415,80057,80827,77450,79087,80202,78048,77399,77253,97797
食料,穀類,(円),7032,6469,6998,7460,7134,7017,7094,6988,6135,6611,6645,7204,8633
食料,魚介類,(円),7038,7274,6958,7464,7254,7140,6394,5829,5686,5879,6268,6798,11508
食料,肉類,(円),9001,10040,9377,9491,10009,8997,8339,7901,8108,8328,8101,8666,10650
食料,乳卵類,(円),3768,3620,3864,4027,4067,3919,3893,3733,3508,3680,3659,3613,3630
食料,野菜・海藻,(円),10058,10155,10187,10792,11205,10970,10387,9278,9088,9406,9768,8530,10934
食料,果物,(円),2748,2694,2394,2862,2684,2665,2592,2575,3208,2574,2905,2464,3358
食料,油脂・調味料,(円),3666,3625,3861,3896,3870,3734,3680,3379,2767,3405,3493,3283,4998
食料,菓子類,(円),5433,4631,5338,6032,4988,5892,5517,5187,4954,4803,5761,5172,6919
食料,調理食品,(円),9973,9073,9018,9522,8756,9610,8507,10223,9630,9999,10584,9370,15385
食料,飲料,(円),3751,3164,3410,4290,3769,4514,3805,3992,4406,3770,3452,2957,3482
食料,酒類,(円),3659,3029,2826,3832,3486,3627,4189,3874,3824,3627,3316,4118,4163
食料,外食,(円),14385,12774,12824,14747,12834,12741,13052,16127,18888,15966,13449,15079,14136
住居,住居,(円),11688,11187,7870,22856,9892,19948,13130,5911,9628,7451,6900,9439,16043
住居,家賃地代,(円),6723,9301,6696,5928,8992,6520,6089,4941,7032,5702,6214,4810,8454
住居,設備修繕・維持,(円),4965,1886,1174,16928,900,13428,7042,970,2596,1749,686,4630,7589
光熱・水道,光熱・水道,(円),25067,35312,33885,32729,27935,24035,21678,19637,21847,20867,18434,20609,23840
光熱・水道,電気代,(円),10949,16794,13486,14577,10988,9971,8049,8386,11950,10890,8232,8272,9793
光熱・水道,ガス代    ,(円),7466,12615,11807,12039,10893,8708,5988,5275,4147,3378,3934,4499,6304
光熱・水道,他の光熱,(円),350,1116,860,672,95,4,1,3,4,12,27,503,907
光熱・水道,上下水道料,(円),6302,4786,7731,5441,5959,5352,7639,5972,5747,6587,6240,7335,6836
