項目,区分,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
歳入総額,歳入,257766601,248307996,334436849,354252003,356429684
営林事業,歳入,97994,109671,110295,109040,217767
母子及び父子並びに寡婦福祉資金貸付事業,歳入,475010,414633,408670,479752,428684
農業改良資金助成事業等,歳入,425581,405424,414000,424846,448982
中小企業経営基盤強化資金助成事業,歳入,2888021,3322520,2598337,3008278,1349683
収益事業,歳入,18165149,16454316,17542591,17543080,20561668
地域開発事業,歳入,441406,235439,231662,162886,235014
公共用地先行取得事業,歳入,1324932,1010402,787738,622972,884942
流域下水道事業,歳入,12217281,13017463,13504777,15279205,15269385
港湾事業,歳入,1335419,1422408,1371094,1682499,1269237
公債費,歳入,220395808,211915720,297467685,314939445,315764322
歳出総額,歳出,253320554,244350421,330289677,350765562,353651416
営林事業,歳出,94803,108925,110140,109031,216687
母子及び父子並びに寡婦福祉資金貸付事業,歳出,386442,382072,350619,374827,387136
農業改良資金助成事業等,歳出,105897,79222,64483,39760,63871
中小企業経営基盤強化資金助成事業,歳出,932676,1672068,866618,2133933,1194253
収益事業,歳出,16894448,15215345,16199508,16085211,19066427
地域開発事業,歳出,206000,207714,231662,162886,181355
公共用地先行取得事業,歳出,1324865,1009665,787191,622457,884681
流域下水道事業,歳出,11644196,12337282,12840677,14615513,14623447
港湾事業,歳出,1335419,1422408,1371094,1682499,1269237
公債費,歳出,220395808,211915720,297467685,314939445,315764322
