項目,2009年度(百万円),2010年度(百万円),2011年度(百万円),2012年度(百万円),2013年度(百万円),2013年度_対前年度増加率(%),2013年度_構成比(%)
1 府内雇用者報酬,4780181,4647986,4410346,4394607,4398973,0.1,44.8
2 営業余剰・混合所得,2369298,2643377,2989053,2996427,2959321,-1.2,30.1
3 固定資本減耗,1878777,1828889,1829139,1794741,1821457,1.5,18.5
4 生産・輸入品に課される税,711177,683710,707994,690553,707499,2.5,7.2
5 （控除）補助金,78496,67557,64866,56856,61855,8.8,0.6
府内総生産（生産側）,9660938,9736406,9871666,9819473,9825395,0.1,100
6 民間最終消費支出,6179419,6077104,6162642,6047413,6322428,4.5,64.3
7 政府最終消費支出,1902291,1872706,1912647,1926726,1909480,-0.9,19.4
8 総固定資本形成,1659788,1594082,1621343,1678232,1890728,12.7,19.2
9 在庫品増加,-115808,-13241,-8768,-6009,-44824,-　,-0.5
10 財貨・サービスの移出入(純),-445432,-391520,-343630,-393850,-607310,-　,-6.2
11 統計上の不突合,480679,597275,527433,566960,354893,-　,3.6
府内総生産（支出側）,9660938,9736406,9871666,9819473,9825395,0.1,100
