項目,区分,2011年度(千円),2012年度(千円),2013年度(千円),2014年度(千円),2015年度(千円)
歳入総額,歳入,937202916,934142147,960646226,976225522,989214633
府税,歳入,239071204,234625675,242765609,251009808,286049322
地方消費税清算金,歳入,52823726,52854834,52414844,63576133,104290890
地方譲与税,歳入,33395451,34458039,41177097,49128408,44764225
地方特例交付金,歳入,2872193,1102678,1061290,966776,948252
地方交付税,歳入,173002387,170534536,173932281,174800661,171556435
交通安全対策特別交付金,歳入,599814,589376,552874,473295,498842
分担金及び負担金,歳入,2126202,4469722,1617456,1326762,1333829
使用料及び手数料,歳入,8513982,8330382,8241048,9746553,11064186
国庫支出金,歳入,94681908,94612535,111756387,85531184,88216653
財産収入,歳入,2103460,2844888,1628897,1505537,1769630
寄附金,歳入,465027,52382,2053253,268002,32655
繰入金,歳入,40069296,30534295,27306962,30011706,19634566
繰越金,歳入,4189639,4280491,3502165,9075529,6085477
諸収入,歳入,136699573,119252805,128253451,124963235,118814671
府債,歳入,146589054,175599509,164382612,173841933,134155000
歳出総額,歳出,932922425,930639982,951570697,970140045,984697752
議会費,歳出,2014712,1914584,1893251,1980927,1952199
総務費,歳出,42894280,40389264,50709552,44633313,45996045
民生費,歳出,140714435,154349145,138879728,146482424,154228585
衛生費,歳出,24817944,22773939,22085425,22377760,22848170
労働費,歳出,14225357,12828042,11960716,8304582,5842833
農林水産業費,歳出,22799292,22499209,22832533,39905644,19409050
商工費,歳出,128719652,110838807,120975774,115689972,111911453
土木費,歳出,73909751,79950074,92617775,80080843,72087160
警察費,歳出,78734570,77877353,75134012,76798663,79164407
教育費,歳出,235828292,229052083,226946516,231661110,228354852
災害復旧費,歳出,1013965,2189053,3561279,9051756,5539426
公債費,歳出,98979022,105792719,114273212,117326380,116051206
諸支出金,歳出,68271153,70185710,69700924,75846671,121312366
予備費,歳出,-,-,-,-,-
繰上充用金,歳出,-,-,-,-,-
