西暦,和暦,月,種別,選挙当日の有権者数(人),投票者数(人),有効投票数(票),無効投票数(票),棄権者数(人),投票率(%)
2004年,平成16年,7月,比例代表,2094734,1143206,1104388,38761,951528,54.58
2004年,平成16年,7月,選挙区,2093483,1143007,1106357,36618,950476,54.6
2007年,平成19年,7月,比例代表,2107048,1187646,1148769,38841,919402,56.37
2007年,平成19年,7月,選挙区,2107048,1187745,1152337,35388,919303,56.37
2010年,平成22年,7月,比例代表,2098897,1127238,1090915,36279,971659,53.71
2010年,平成22年,7月,選挙区,2098897,1127305,1091522,35775,971592,53.71
2013年,平成25年,7月,比例代表,2099140,1092658,1059569,33053,1006482,52.05
2013年,平成25年,7月,選挙区,2099140,1092693,1056980,35680,1006447,52.05
2016年,平成28年,7月,比例代表,2132372,1090713,1051108,39572,1041659,51.15
2016年,平成28年,7月,選挙区,2132372,1090830,1056759,34054,1041542,51.16
2016年,平成28年,7月,京都市比例代表,1176870,571479,549705,21757,605391,48.56
2016年,平成28年,7月,京都市選挙区,1176870,571545,553564,17974,605325,48.56
2016年,平成28年,7月,その他比例代表,955502,519234,501403,17815,436268,54.34
2016年,平成28年,7月,その他選挙区,955502,519285,503195,16080,436217,54.35
